datetime,count,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,tzoffset,day
2020-02-17,40946,1581915600,11.7,3.1,6.7,11.7,0.4,5.4,-4.9,45.07,0.0,,0.0,,0.0,0.0,33.5,18.2,224.1,1023.6,14.6,16.0,321.8,13.9,6.0,06:47:56,1581940076,17:32:40,1581978760,0.84,Clear,Clear conditions throughout the day.,clear-day,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,17
2020-02-18,44104,1582002000,8.1,3.2,5.3,6.1,-0.7,2.9,0.7,73.03,0.0,,0.0,,0.0,0.0,33.5,19.7,92.5,1022.5,82.2,12.5,68.4,3.0,1.0,06:46:35,1582026395,17:33:52,1582065232,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,18
2020-02-19,49313,1582088400,8.7,1.1,6.0,6.6,-1.5,3.3,-5.8,45.52,0.0,,0.0,,0.0,0.0,48.0,26.3,309.6,1022.4,29.7,15.4,351.5,15.2,7.0,06:45:13,1582112713,17:35:04,1582151704,0.93,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,19
2020-02-20,42686,1582174800,5.4,-2.7,0.0,2.6,-7.4,-3.3,-12.0,40.57,0.0,,0.0,,0.0,0.0,40.7,24.4,316.8,1029.9,15.6,16.0,198.4,8.6,4.0,06:43:50,1582199030,17:36:15,1582238175,0.96,Clear,Clear conditions throughout the day.,clear-day,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,20
2020-02-21,38686,1582261200,1.8,-6.6,-2.1,-0.5,-12.0,-5.8,-15.9,35.88,0.0,,0.0,,0.0,0.0,39.5,24.6,202.0,1030.7,1.2,16.0,355.9,15.4,7.0,06:42:25,1582285345,17:37:27,1582324647,0.98,Clear,Clear conditions throughout the day.,clear-day,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,21
2020-02-22,39443,1582347600,10.0,-1.2,4.1,10.0,-5.1,1.6,-14.0,26.79,0.0,,0.0,,0.0,0.0,37.1,16.6,251.4,1023.8,1.3,16.0,362.1,15.6,7.0,06:41:00,1582371660,17:38:37,1582411117,1.0,Clear,Clear conditions throughout the day.,clear-day,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,22
2020-02-23,46544,1582434000,13.3,3.4,8.3,13.3,2.1,7.5,-11.8,23.28,0.0,,0.0,,0.0,0.0,29.5,19.8,242.0,1021.0,5.1,16.0,367.7,15.9,7.0,06:39:34,1582457974,17:39:48,1582497588,1.0,Clear,Clear conditions throughout the day.,clear-day,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,23
2020-02-24,56349,1582520400,16.0,4.8,9.9,16.0,4.8,9.5,-3.7,41.31,0.0,,0.0,,0.0,0.0,35.3,15.8,161.7,1016.3,33.3,15.9,393.1,14.2,7.0,06:38:07,1582544287,17:40:58,1582584058,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,24
2020-02-25,39568,1582606800,11.1,7.8,9.2,11.1,5.8,8.4,5.0,75.98,3.58,,41.67,,0.0,0.0,,12.9,139.7,1011.6,86.1,11.6,91.3,3.9,2.0,06:36:39,1582630599,17:42:08,1582670528,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,25
2020-02-26,45207,1582693200,8.4,7.2,7.8,7.7,3.8,5.9,6.3,90.7,0.04,,12.5,,0.0,0.0,37.1,20.6,62.2,1011.7,97.9,9.1,50.7,2.2,1.0,06:35:10,1582716910,17:43:18,1582756998,0.04,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,26
